"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";896527.338;6448740.279;;;;;0
"p2";896485.04;6448697.862;;;0;60;0
"p3";896503.262058795;6448799.67459835;;;0;60;0
"p4";896583.384;6448751.947;;;0;60;0
"p4GPS";896582.384;6448751.947;;;0;60;0
"p1GPS";896526.338;6448741.679;;;;;0
"p2GPS";896486.54;6448697.862;;;0;60;0
"p3GPS";896516.203;6448795.782;;;;;
"p1t";896525.734803528;6448743.64852198;;;;;0
"p2t";896488;6448697;;;0;60;0
"p3t";896504.262058795;6448799.67459835;;;0;60;0
"p4t";896584.996103963;6448734.26245407;;;0;60;0
