plot_id;date_1;date_2
01-1;01/01/2011;01/12/2022
01-2;01/01/2011;
01-3;01/01/2011;
01-4;01/01/2011;
02-1;01/01/2011;01/12/2022
02-2;01/01/2011;
02-3;01/01/2011;
02-4;01/01/2011;
03-1;01/01/2011;01/12/2022
03-2;01/01/2011;
03-3;01/01/2011;
03-4;01/01/2011;
04-1;01/01/2011;01/12/2022
04-2;01/01/2011;
04-3;01/01/2011;
04-4;01/01/2011;
05-1;01/01/2011;01/12/2022
05-2;01/01/2011;
05-3;01/01/2011;
05-4;01/01/2011;
06-1;01/01/2011;01/12/2022
06-2;01/01/2011;
06-3;01/01/2011;
06-4;01/01/2011;
07-1;01/01/2011;05/05/2023
07-2;01/01/2011;
07-3;01/01/2011;
07-4;01/01/2011;
08-1;01/01/2011;05/05/2023
08-2;01/01/2011;
08-3;01/01/2011;
08-4;01/01/2011;
S1-1;16/05/2012;01/12/2022
S1-2;16/05/2012;01/12/2022
S1-3;15/05/2012;01/12/2022
S1-4;15/05/2012;01/12/2022
S2-1;15/05/2012;05/05/2023
S2-2;15/05/2012;05/05/2023
S2-3;15/05/2012;05/05/2023
S2-4;15/05/2012;05/05/2023
S3-1;05/06/2012;01/12/2022
S3-2;05/06/2012;01/12/2022
S3-3;05/06/2012;01/12/2022
S3-4;05/06/2012;01/12/2022
S4-1;31/05/2012;01/12/2022
S4-2;31/05/2012;01/12/2022
S4-3;31/05/2012;01/12/2022
S4-4;31/05/2012;01/12/2022
S6-1;07/06/2012;01/12/2022
S6-2;07/06/2012;01/12/2022
S6-3;07/06/2012;01/12/2022
S6-4;07/06/2012;01/12/2022
S7-1;03/05/2012;01/12/2022
S7-2;03/05/2012;01/12/2022
S7-3;03/05/2012;01/12/2022
S7-4;03/05/2012;01/12/2022
S8-1;23/05/2012;01/12/2022
S8-2;23/05/2012;01/12/2022
S8-3;23/05/2012;01/12/2022
S8-4;23/05/2012;01/12/2022
C1-1;06/09/2012;01/12/2022
C1-2;06/09/2012;01/12/2022
C1-3;06/09/2012;01/12/2022
C1-4;06/09/2012;01/12/2022
C2-1;25/07/2012;01/12/2022
C2-2;25/07/2012;01/12/2022
C2-3;25/07/2012;01/12/2022
C2-4;25/07/2012;01/12/2022
C3-1;13/09/2012;01/12/2022
C3-2;13/09/2012;01/12/2022
C3-3;13/09/2012;01/12/2022
C3-4;13/09/2012;01/12/2022
C4-1;19/07/2012;01/12/2022
C4-2;19/07/2012;01/12/2022
C4-3;19/07/2012;01/12/2022
C4-4;19/07/2012;01/12/2022
C5-1;25/07/2012;01/12/2022
C5-2;25/07/2012;01/12/2022
C5-3;25/07/2012;01/12/2022
C5-4;25/07/2012;01/12/2022
C6-1;05/09/2012;01/12/2022
C6-2;05/09/2012;01/12/2022
C6-3;05/09/2012;01/12/2022
C6-4;05/09/2012;01/12/2022
C7-1;16/08/2012;01/12/2022
C7-2;16/08/2012;01/12/2022
C7-3;16/08/2012;01/12/2022
C7-4;16/08/2012;01/12/2022
C8-1;18/07/2012;01/12/2022
C8-2;18/07/2012;01/12/2022
C8-3;18/07/2012;01/12/2022
C8-4;18/07/2012;01/12/2022
C9-1;12/09/2012;01/12/2022
C9-2;12/09/2012;01/12/2022
C9-3;12/09/2012;01/12/2022
C9-4;12/09/2012;01/12/2022
